Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,198159.0,200000.0,11246.78,177956.31,222043.69,0.11,3.19,1
1,1,198159.0,191000.0,11594.98,168273.83,213726.17,0.11,3.19,1
2,1,198159.0,182000.0,11103.84,160236.48,203763.52,0.15,4.35,1
3,1,198159.0,212000.0,11813.35,188845.82,235154.18,0.12,3.62,1
4,1,198159.0,230000.0,11684.61,207098.16,252901.84,0.14,3.86,0
5,1,198159.0,198000.0,11465.78,175527.08,220472.92,0.12,3.55,1
6,1,198159.0,205000.0,11689.98,182087.65,227912.35,0.15,4.35,1
7,1,198159.0,200000.0,11442.42,177572.85,222427.15,0.11,4.8,1
8,1,198159.0,196000.0,11401.82,173652.44,218347.56,0.12,3.64,1
9,1,198159.0,192000.0,11472.77,169513.37,214486.63,0.11,3.57,1
0,2,278356.0,291000.0,12182.18,267122.94,314877.06,0.11,3.44,1
1,2,278356.0,286000.0,12412.43,261671.64,310328.36,0.11,3.53,1
2,2,278356.0,282000.0,12135.78,258213.87,305786.13,0.11,3.44,1
3,2,278356.0,283000.0,12053.62,259374.91,306625.09,0.14,3.51,1
4,2,278356.0,264000.0,12296.06,239899.71,288100.29,0.12,3.27,1
5,2,278356.0,298000.0,11696.7,275074.48,320925.52,0.12,3.33,1
6,2,278356.0,286000.0,12255.79,261978.66,310021.34,0.11,3.4,1
7,2,278356.0,255000.0,12158.87,231168.62,278831.38,0.11,3.21,1
8,2,278356.0,278000.0,11934.95,254607.51,301392.49,0.11,3.35,1
9,2,278356.0,276000.0,12210.39,252067.64,299932.36,0.11,3.29,1
0,3,192924.0,191000.0,11383.02,168689.29,213310.71,0.11,3.38,1
1,3,192924.0,197000.0,11643.38,174178.97,219821.03,0.11,3.33,1
2,3,192924.0,180000.0,11350.14,157753.72,202246.28,0.1,3.22,1
3,3,192924.0,194000.0,11164.42,172117.73,215882.27,0.11,3.34,1
4,3,192924.0,194000.0,11498.88,171462.19,216537.81,0.11,3.26,1
5,3,192924.0,191000.0,10999.82,169440.35,212559.65,0.11,3.69,1
6,3,192924.0,175000.0,11312.36,152827.78,197172.22,0.11,3.23,1
7,3,192924.0,190000.0,11387.63,167680.25,212319.75,0.11,3.25,1
8,3,192924.0,194000.0,11296.19,171859.48,216140.52,0.11,3.34,1
9,3,192924.0,181000.0,11268.75,158913.26,203086.74,0.11,3.29,1
0,4,218426.0,220000.0,11899.77,196676.45,243323.55,0.12,3.31,1
1,4,218426.0,233000.0,11822.9,209827.11,256172.89,0.13,3.38,1
2,4,218426.0,236000.0,12189.13,212109.31,259890.69,0.14,3.31,1
3,4,218426.0,209000.0,11770.08,185930.65,232069.35,0.11,3.32,1
4,4,218426.0,204000.0,11495.3,181469.22,226530.78,0.11,3.41,1
5,4,218426.0,229000.0,11711.93,206044.63,251955.37,0.11,3.34,1
6,4,218426.0,216000.0,11700.64,193066.75,238933.25,0.12,3.43,1
7,4,218426.0,210000.0,11845.37,186783.08,233216.92,0.11,3.29,1
8,4,218426.0,214000.0,11412.39,191631.72,236368.28,0.11,3.48,1
9,4,218426.0,212000.0,11922.35,188632.19,235367.81,0.11,3.26,1
0,5,429156.0,431000.0,10931.47,409574.33,452425.67,0.11,3.5,1
1,5,429156.0,432000.0,10986.75,410465.96,453534.04,0.11,3.4,1
2,5,429156.0,445000.0,10392.23,424631.23,465368.77,0.12,3.53,1
3,5,429156.0,428000.0,11099.51,406244.97,449755.03,0.12,3.35,1
4,5,429156.0,434000.0,10827.0,412779.09,455220.91,0.11,3.45,1
5,5,429156.0,435000.0,10982.71,413473.88,456526.12,0.11,3.35,1
6,5,429156.0,447000.0,10631.74,426161.78,467838.22,0.11,3.45,1
7,5,429156.0,434000.0,11088.66,412266.23,455733.77,0.11,3.35,1
8,5,429156.0,440000.0,10896.07,418643.69,461356.31,0.12,3.34,1
9,5,429156.0,422000.0,11326.46,399800.13,444199.87,0.11,3.37,1
0,6,163131.0,163000.0,11147.93,141150.06,184849.94,0.11,3.28,1
