Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,27856078.0,27871400.0,40806.45,27791419.36,27951380.64,8.68,881.54,1
1,1,27856078.0,27845100.0,34894.86,27776706.07,27913493.93,8.71,911.94,1
2,1,27856078.0,27814800.0,39629.64,27737125.9,27892474.1,8.69,851.27,1
3,1,27856078.0,27846100.0,38889.75,27769876.1,27922323.9,8.76,854.51,1
4,1,27856078.0,27888600.0,37477.09,27815144.9,27962055.1,8.65,843.37,1
5,1,27856078.0,27811900.0,36039.5,27741262.57,27882537.43,8.64,843.17,1
6,1,27856078.0,27834100.0,40318.63,27755075.49,27913124.51,8.66,847.47,1
7,1,27856078.0,27874500.0,36850.64,27802272.75,27946727.25,8.7,836.81,1
8,1,27856078.0,27866100.0,36833.35,27793906.63,27938293.37,8.65,854.97,1
9,1,27856078.0,27842900.0,36043.46,27772254.81,27913545.19,8.68,825.29,1
0,2,19280625.0,19289000.0,35791.27,19218849.1,19359150.9,8.7,869.66,1
1,2,19280625.0,19272800.0,36663.25,19200940.03,19344659.97,8.7,839.55,1
2,2,19280625.0,19255500.0,34496.05,19187887.73,19323112.27,8.67,860.5,1
3,2,19280625.0,19278300.0,35403.74,19208908.68,19347691.32,8.66,849.49,1
4,2,19280625.0,19243600.0,34077.27,19176808.56,19310391.44,8.69,831.23,1
5,2,19280625.0,19265500.0,40364.38,19186385.81,19344614.19,8.66,873.55,1
6,2,19280625.0,19265600.0,38575.11,19189992.79,19341207.21,8.7,837.23,1
7,2,19280625.0,19270000.0,34587.33,19202208.83,19337791.17,8.68,838.94,1
8,2,19280625.0,19342700.0,35280.43,19273550.36,19411849.64,8.65,876.31,1
9,2,19280625.0,19286700.0,36252.91,19215644.29,19357755.71,8.64,849.3,1
0,3,21809885.0,21799800.0,32228.99,21736631.18,21862968.82,8.71,795.37,1
1,3,21809885.0,21794100.0,34234.45,21727000.48,21861199.52,8.72,872.45,1
2,3,21809885.0,21773700.0,35527.28,21704066.53,21843333.47,8.71,898.66,1
3,3,21809885.0,21765400.0,34708.66,21697371.03,21833428.97,8.69,867.28,1
4,3,21809885.0,21822900.0,36759.01,21750852.35,21894947.65,8.63,892.85,1
