Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,275000.0,12282.89,250925.54,299074.46,0.02,3.43,1
1,1,278356.0,278000.0,12120.82,254243.18,301756.82,0.01,3.25,1
2,1,278356.0,283000.0,12363.25,258768.03,307231.97,0.01,3.11,1
3,1,278356.0,280000.0,10521.39,259378.08,300621.92,0.01,3.13,1
4,1,278356.0,281000.0,11395.37,258665.08,303334.92,0.02,3.26,1
5,1,278356.0,305000.0,12440.06,280617.49,329382.51,0.01,3.53,0
6,1,278356.0,287000.0,12868.25,261778.24,312221.76,0.01,3.39,1
7,1,278356.0,261000.0,12467.99,236562.74,285437.26,0.01,3.43,1
8,1,278356.0,265000.0,11665.26,242136.08,287863.92,0.01,3.41,1
9,1,278356.0,291000.0,11684.22,268098.92,313901.08,0.01,3.36,1
0,2,218426.0,228000.0,10404.32,207607.54,248392.46,0.01,3.41,1
1,2,218426.0,210000.0,10752.73,188924.66,231075.34,0.02,3.44,1
2,2,218426.0,194000.0,11433.98,171589.4,216410.6,0.01,3.35,0
3,2,218426.0,217000.0,11820.69,193831.44,240168.56,0.01,3.41,1
4,2,218426.0,211000.0,11836.04,187801.36,234198.64,0.01,3.32,1
5,2,218426.0,233000.0,11828.0,209817.12,256182.88,0.01,3.31,1
6,2,218426.0,206000.0,12016.1,182448.43,229551.57,0.01,3.27,1
7,2,218426.0,217000.0,11414.5,194627.58,239372.42,0.01,3.25,1
8,2,218426.0,228000.0,12521.74,203457.4,252542.6,0.01,3.19,1
9,2,218426.0,213000.0,12286.55,188918.36,237081.64,0.01,3.2,1
0,3,429156.0,444000.0,10519.18,423382.41,464617.59,0.01,3.73,1
1,3,429156.0,428000.0,11538.28,405384.97,450615.03,0.01,4.09,1
2,3,429156.0,439000.0,10597.17,418229.55,459770.45,0.01,4.7,1
3,3,429156.0,412000.0,12059.55,388363.28,435636.72,0.02,5.93,1
4,3,429156.0,433000.0,10249.57,412910.83,453089.17,0.01,6.36,1
5,3,429156.0,404000.0,11251.67,381946.73,426053.27,0.01,3.72,0
6,3,429156.0,436000.0,10802.48,414827.14,457172.86,0.02,4.21,1
7,3,429156.0,457000.0,9943.56,437510.62,476489.38,0.01,4.04,0
8,3,429156.0,439000.0,10278.36,418854.41,459145.59,0.02,5.07,1
9,3,429156.0,415000.0,10710.69,394007.06,435992.94,0.02,4.61,1
0,4,163131.0,161000.0,10689.42,140048.75,181951.25,0.01,3.49,1
1,4,163131.0,170000.0,11179.08,148089.0,191911.0,0.01,3.59,1
2,4,163131.0,173000.0,11000.25,151439.5,194560.5,0.01,3.44,1
3,4,163131.0,161000.0,11042.09,139357.5,182642.5,0.02,5.14,1
4,4,163131.0,171000.0,11250.49,148949.03,193050.97,0.01,3.44,1
5,4,163131.0,154000.0,9992.95,134413.83,173586.17,0.01,3.22,1
6,4,163131.0,172000.0,10921.54,150593.78,193406.22,0.01,3.3,1
7,4,163131.0,149000.0,9503.68,130372.79,167627.21,0.01,3.22,1
8,4,163131.0,177000.0,11166.64,155113.38,198886.62,0.01,3.23,1
9,4,163131.0,167000.0,10957.77,145522.77,188477.23,0.01,3.26,1
0,5,107671.0,95000.0,9472.58,76433.74,113566.26,0.01,3.13,1
1,5,107671.0,105000.0,9047.62,87266.67,122733.33,0.01,3.36,1
2,5,107671.0,95000.0,9517.09,76346.51,113653.49,0.01,3.12,1
3,5,107671.0,82000.0,8391.03,65553.58,98446.42,0.01,3.27,0
4,5,107671.0,116000.0,9691.49,97004.68,134995.32,0.01,3.21,1
5,5,107671.0,105000.0,9530.64,86319.95,123680.05,0.01,3.15,1
6,5,107671.0,97000.0,8322.45,80688.01,113311.99,0.01,3.42,1
7,5,107671.0,101000.0,8743.85,83862.05,118137.95,0.01,3.08,1
8,5,107671.0,115000.0,9392.17,96591.36,133408.64,0.01,3.09,1
9,5,107671.0,121000.0,9838.45,101716.64,140283.36,0.01,3.07,1
0,6,126798.0,134000.0,9777.95,114835.21,153164.79,0.01,3.14,1
1,6,126798.0,120000.0,9318.15,101736.42,138263.58,0.01,3.13,1
2,6,126798.0,115000.0,9775.46,95840.1,134159.9,0.01,3.12,1
3,6,126798.0,123000.0,10637.53,102150.44,143849.56,0.02,3.69,1
4,6,126798.0,128000.0,10416.54,107583.58,148416.42,0.01,3.48,1
5,6,126798.0,145000.0,9768.28,125854.16,164145.84,0.01,3.11,1
6,6,126798.0,132000.0,9962.62,112473.27,151526.73,0.01,3.18,1
7,6,126798.0,139000.0,10138.28,119128.97,158871.03,0.01,3.24,1
8,6,126798.0,142000.0,10522.73,121375.44,162624.56,0.01,3.18,1
9,6,126798.0,152000.0,10328.3,131756.53,172243.47,0.01,3.46,0
0,7,104695.0,110000.0,9657.68,91070.95,128929.05,0.01,3.17,1
1,7,104695.0,105000.0,9411.85,86552.77,123447.23,0.01,3.14,1
2,7,104695.0,116000.0,9438.47,97500.59,134499.41,0.01,3.14,1
3,7,104695.0,113000.0,10178.31,93050.52,132949.48,0.01,3.12,1
4,7,104695.0,102000.0,8632.54,85080.22,118919.78,0.02,3.17,1
5,7,104695.0,96000.0,9048.47,78265.0,113735.0,0.01,3.12,1
6,7,104695.0,109000.0,10515.08,88390.44,129609.56,0.01,3.18,1
7,7,104695.0,85000.0,7687.18,69933.12,100066.88,0.01,3.5,0
8,7,104695.0,105000.0,8779.95,87791.29,122208.71,0.01,3.1,1
9,7,104695.0,111000.0,8971.38,93416.1,128583.9,0.01,3.18,1
0,8,198159.0,222000.0,10945.22,200547.37,243452.63,0.01,3.4,0
1,8,198159.0,173000.0,11572.89,150317.14,195682.86,0.01,3.63,0
2,8,198159.0,205000.0,10917.82,183601.07,226398.93,0.01,3.4,1
3,8,198159.0,186000.0,11485.46,163488.5,208511.5,0.01,3.33,1
4,8,198159.0,181000.0,10904.33,159627.52,202372.48,0.01,3.75,1
5,8,198159.0,200000.0,11772.85,176925.22,223074.78,0.01,3.64,1
6,8,198159.0,192000.0,11371.33,169712.2,214287.8,0.01,3.46,1
7,8,198159.0,190000.0,10917.19,168602.31,211397.69,0.01,3.67,1
8,8,198159.0,189000.0,11695.72,166076.39,211923.61,0.01,3.39,1
9,8,198159.0,203000.0,12277.57,178935.96,227064.04,0.01,3.73,1
0,9,165477.0,167000.0,10588.11,146247.31,187752.69,0.01,3.67,1
1,9,165477.0,166000.0,9829.33,146734.51,185265.49,0.01,3.79,1
2,9,165477.0,184000.0,11397.53,161660.83,206339.17,0.01,4.15,1
3,9,165477.0,164000.0,10898.0,142639.92,185360.08,0.01,3.76,1
4,9,165477.0,158000.0,10937.99,136561.54,179438.46,0.01,3.69,1
5,9,165477.0,171000.0,12202.33,147083.42,194916.58,0.01,3.52,1
6,9,165477.0,158000.0,11260.78,135928.88,180071.12,0.01,3.7,1
7,9,165477.0,172000.0,10898.34,150639.25,193360.75,0.01,3.67,1
8,9,165477.0,169000.0,10561.48,148299.51,189700.49,0.02,4.94,1
9,9,165477.0,167000.0,11558.36,144345.61,189654.39,0.02,5.89,1
0,10,268102.0,244000.0,12156.25,220173.75,267826.25,0.02,6.34,0
1,10,268102.0,260000.0,12558.9,235384.56,284615.44,0.01,5.93,1
2,10,268102.0,261000.0,12668.93,236168.9,285831.1,0.02,5.74,1
3,10,268102.0,253000.0,12040.35,229400.92,276599.08,0.01,5.06,1
4,10,268102.0,263000.0,12882.74,237749.82,288250.18,0.01,4.84,1
