Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,27856078.0,27656000.0,123537.08,27413867.32,27898132.68,0.64,169.85,1
1,1,27856078.0,27944000.0,121407.09,27706042.1,28181957.9,0.67,159.5,1
2,1,27856078.0,27922000.0,121246.22,27684357.42,28159642.58,0.74,160.23,1
3,1,27856078.0,27849000.0,130682.6,27592862.1,28105137.9,0.63,155.02,1
4,1,27856078.0,27805000.0,124527.77,27560925.57,28049074.43,0.64,166.23,1
5,1,27856078.0,27828000.0,123286.95,27586357.58,28069642.42,0.65,161.81,1
6,1,27856078.0,27989000.0,118422.57,27756891.76,28221108.24,0.66,158.99,1
7,1,27856078.0,27930000.0,115203.56,27704201.02,28155798.98,0.69,164.24,1
8,1,27856078.0,27711000.0,113251.01,27489028.02,27932971.98,0.65,159.34,1
9,1,27856078.0,27648000.0,127549.25,27398003.46,27897996.54,0.62,165.84,1
0,2,21809885.0,21890000.0,116310.76,21662030.9,22117969.1,0.61,155.88,1
1,2,21809885.0,21838000.0,119137.65,21604490.21,22071509.79,0.63,149.76,1
2,2,21809885.0,21577000.0,111647.66,21358170.59,21795829.41,0.65,144.33,0
3,2,21809885.0,21957000.0,119104.21,21723555.75,22190444.25,0.67,143.47,1
4,2,21809885.0,21967000.0,131667.73,21708931.26,22225068.74,0.63,141.58,1
5,2,21809885.0,21742000.0,125504.1,21496011.96,21987988.04,0.61,155.73,1
6,2,21809885.0,21851000.0,122203.35,21611481.44,22090518.56,0.74,140.15,1
7,2,21809885.0,21690000.0,118097.52,21458528.86,21921471.14,0.64,148.56,1
8,2,21809885.0,21850000.0,112804.51,21628903.16,22071096.84,0.59,140.03,1
9,2,21809885.0,21936000.0,123300.1,21694331.8,22177668.2,0.62,139.93,1
0,3,43877172.0,43854000.0,102534.1,43653033.16,44054966.84,0.63,175.47,1
1,3,43877172.0,43710000.0,107468.91,43499360.93,43920639.07,0.63,198.9,1
2,3,43877172.0,43741000.0,107213.9,43530860.76,43951139.24,0.65,174.09,1
3,3,43877172.0,43947000.0,111063.06,43729316.39,44164683.61,0.64,178.23,1
4,3,43877172.0,43801000.0,107461.39,43590375.67,44011624.33,0.64,173.64,1
5,3,43877172.0,44056000.0,105231.6,43849746.06,44262253.94,0.65,204.25,1
6,3,43877172.0,44054000.0,108957.41,43840443.47,44267556.53,0.67,169.76,1
7,3,43877172.0,43879000.0,91074.79,43700493.41,44057506.59,0.67,177.96,1
8,3,43877172.0,43984000.0,116682.32,43755302.65,44212697.35,0.62,174.66,1
9,3,43877172.0,43743000.0,100736.41,43545556.64,43940443.36,0.65,186.2,1
0,4,16357096.0,16487000.0,111256.37,16268937.51,16705062.49,0.68,128.65,1
1,4,16357096.0,16110000.0,110295.77,15893820.29,16326179.71,0.61,125.45,0
2,4,16357096.0,16381000.0,109793.3,16165805.13,16596194.87,0.64,134.58,1
3,4,16357096.0,16331000.0,102795.9,16129520.03,16532479.97,0.65,119.33,1
4,4,16357096.0,16268000.0,106063.55,16060115.44,16475884.56,0.66,129.48,1
5,4,16357096.0,16582000.0,111871.59,16362731.68,16801268.32,0.67,128.45,0
6,4,16357096.0,16338000.0,111271.38,16119908.1,16556091.9,0.67,129.93,1
7,4,16357096.0,16362000.0,105175.11,16155856.79,16568143.21,0.63,130.32,1
8,4,16357096.0,16117000.0,117773.83,15886163.29,16347836.71,0.7,152.22,0
9,4,16357096.0,16201000.0,119610.48,15966563.45,16435436.55,0.62,138.84,1
0,5,10792922.0,10793000.0,91212.33,10614223.84,10971776.16,0.62,113.99,1
1,5,10792922.0,10870000.0,85202.06,10703003.96,11036996.04,0.67,113.93,1
2,5,10792922.0,10865000.0,100763.67,10667503.2,11062496.8,0.63,108.46,1
3,5,10792922.0,10899000.0,93490.38,10715758.85,11082241.15,0.81,128.53,1
4,5,10792922.0,10816000.0,95303.48,10629205.17,11002794.83,0.62,123.83,1
5,5,10792922.0,10703000.0,98783.24,10509384.86,10896615.14,0.65,137.23,1
6,5,10792922.0,10728000.0,97780.11,10536350.98,10919649.02,0.62,106.01,1
7,5,10792922.0,10875000.0,90603.29,10697417.56,11052582.44,0.7,114.24,1
8,5,10792922.0,10872000.0,93364.86,10689004.87,11054995.13,0.63,107.96,1
9,5,10792922.0,10802000.0,95748.46,10614333.02,10989666.98,0.68,120.31,1
0,6,11893287.0,11860000.0,87144.23,11689197.31,12030802.69,0.69,125.68,1
1,6,11893287.0,11810000.0,92594.47,11628514.85,11991485.15,0.67,153.61,1
2,6,11893287.0,11815000.0,97280.28,11624330.65,12005669.35,0.89,133.26,1
3,6,11893287.0,11888000.0,95647.12,11700531.64,12075468.36,0.66,151.67,1
4,6,11893287.0,11796000.0,92970.75,11613777.34,11978222.66,0.71,113.91,1
5,6,11893287.0,11986000.0,95912.85,11798010.82,12173989.18,0.66,132.99,1
6,6,11893287.0,11841000.0,98276.18,11648378.69,12033621.31,0.65,116.0,1
7,6,11893287.0,11892000.0,103240.08,11689649.44,12094350.56,0.66,109.32,1
8,6,11893287.0,11938000.0,94260.0,11753250.4,12122749.6,0.64,116.72,1
9,6,11893287.0,11900000.0,98191.87,11707543.94,12092456.06,0.64,114.42,1
0,7,9358372.0,9359000.0,94325.22,9174122.56,9543877.44,0.68,106.5,1
1,7,9358372.0,9378000.0,83753.56,9213843.02,9542156.98,0.67,108.9,1
2,7,9358372.0,9550000.0,84528.63,9384323.88,9715676.12,0.76,109.37,0
3,7,9358372.0,9356000.0,82495.39,9194309.03,9517690.97,0.8,132.87,1
