Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,227014.0,224200.0,5228.11,213952.91,234447.09,0.46,3.28,1
1,1,227014.0,227200.0,5157.49,217091.33,237308.67,0.46,3.0,1
2,1,227014.0,222400.0,5204.26,212199.64,232600.36,0.45,3.17,1
3,1,227014.0,224000.0,5371.68,213471.5,234528.5,0.46,3.05,1
4,1,227014.0,234800.0,5274.19,224462.59,245137.41,0.45,3.01,1
5,1,227014.0,231400.0,5383.18,220848.96,241951.04,0.5,3.51,1
6,1,227014.0,222600.0,5214.67,212379.25,232820.75,0.51,3.4,1
7,1,227014.0,231400.0,5355.87,220902.49,241897.51,0.48,3.37,1
8,1,227014.0,230200.0,5404.02,219608.13,240791.87,0.46,3.34,1
9,1,227014.0,239400.0,5335.47,228942.48,249857.52,0.46,3.18,0
0,2,278356.0,277800.0,5434.32,267148.73,288451.27,0.52,3.43,1
1,2,278356.0,283400.0,5433.31,272750.71,294049.29,0.45,3.3,1
2,2,278356.0,281200.0,5351.18,270711.69,291688.31,0.67,3.62,1
3,2,278356.0,282200.0,5444.88,271528.04,292871.96,0.7,4.12,1
4,2,278356.0,282400.0,5456.03,271706.19,293093.81,0.51,3.46,1
5,2,278356.0,281400.0,5457.46,270703.38,292096.62,0.46,3.28,1
6,2,278356.0,269600.0,5436.85,258943.77,280256.23,0.46,3.28,1
7,2,278356.0,277000.0,5493.62,266232.51,287767.49,0.46,3.17,1
8,2,278356.0,284600.0,5528.62,273763.91,295436.09,0.45,3.3,1
9,2,278356.0,295000.0,5559.72,284102.95,305897.05,0.64,3.44,0
0,3,192924.0,193600.0,5183.67,183440.01,203759.99,0.45,3.35,1
1,3,192924.0,202200.0,5221.34,191966.17,212433.83,0.46,3.18,1
2,3,192924.0,192600.0,5106.15,182591.95,202608.05,0.45,3.3,1
3,3,192924.0,196200.0,5148.1,186109.72,206290.28,0.45,3.14,1
4,3,192924.0,201200.0,5138.99,191127.58,211272.42,0.48,3.48,1
5,3,192924.0,201200.0,5244.42,190920.93,211479.07,0.47,3.32,1
6,3,192924.0,195200.0,5223.94,184961.07,205438.93,0.46,3.19,1
7,3,192924.0,187400.0,5215.83,177176.97,197623.03,0.46,3.18,1
8,3,192924.0,196000.0,5104.82,185994.55,206005.45,0.48,3.47,1
9,3,192924.0,193800.0,5168.22,183670.29,203929.71,0.46,3.23,1
0,4,218426.0,218200.0,5146.6,208112.66,228287.34,0.46,3.38,1
1,4,218426.0,228400.0,5185.07,218237.26,238562.74,0.46,3.29,1
2,4,218426.0,226000.0,5255.43,215699.36,236300.64,0.52,3.26,1
3,4,218426.0,220200.0,5341.27,209731.11,230668.89,0.47,3.46,1
4,4,218426.0,213600.0,5358.01,203098.29,224101.71,0.45,3.52,1
5,4,218426.0,212400.0,5330.77,201951.69,222848.31,0.47,3.17,1
6,4,218426.0,213000.0,5076.52,203050.02,222949.98,0.59,3.34,1
7,4,218426.0,228200.0,5347.36,217719.18,238680.82,0.47,3.42,1
8,4,218426.0,209600.0,5119.27,199566.24,219633.76,0.58,3.31,1
9,4,218426.0,226800.0,5363.07,216288.38,237311.62,0.45,3.23,1
0,5,429156.0,433800.0,4909.05,424178.26,443421.74,0.46,3.45,1
1,5,429156.0,429200.0,4931.01,419535.23,438864.77,0.48,3.35,1
2,5,429156.0,429200.0,5095.86,419212.11,439187.89,0.46,3.38,1
3,5,429156.0,437600.0,4805.26,428181.7,447018.3,0.45,3.17,1
4,5,429156.0,434200.0,4956.09,424486.06,443913.94,0.49,3.59,1
5,5,429156.0,427400.0,5043.75,417514.25,437285.75,0.56,3.32,1
6,5,429156.0,424600.0,4966.7,414865.26,434334.74,0.46,3.36,1
7,5,429156.0,432200.0,5009.25,422381.86,442018.14,0.47,3.3,1
8,5,429156.0,425200.0,4858.98,415676.39,434723.61,0.45,3.2,1
9,5,429156.0,421000.0,5025.49,411150.03,430849.97,0.46,3.33,1
0,6,163131.0,167800.0,4876.92,158241.23,177358.77,0.47,3.47,1
1,6,163131.0,161200.0,4911.25,151573.95,170826.05,0.45,3.3,1
2,6,163131.0,164200.0,4875.18,154644.64,173755.36,0.45,3.2,1
3,6,163131.0,169200.0,5085.12,159233.16,179166.84,0.47,3.33,1
4,6,163131.0,166000.0,4985.59,156228.25,175771.75,0.46,3.3,1
5,6,163131.0,161800.0,4863.63,152267.28,171332.72,0.45,3.38,1
6,6,163131.0,160800.0,4836.11,151321.22,170278.78,0.46,3.17,1
7,6,163131.0,160600.0,4865.03,151064.53,170135.47,0.48,3.37,1
8,6,163131.0,159000.0,4771.58,149647.71,168352.29,0.55,3.5,1
9,6,163131.0,164800.0,4875.99,155243.06,174356.94,0.55,3.62,1
0,7,107671.0,104000.0,4189.33,95788.9,112211.1,0.63,3.46,1
1,7,107671.0,103400.0,4050.77,95460.49,111339.51,0.45,3.18,1
2,7,107671.0,105000.0,4226.2,96716.64,113283.36,0.49,3.33,1
3,7,107671.0,107200.0,4220.0,98928.81,115471.19,0.46,3.45,1
4,7,107671.0,101000.0,4093.1,92977.53,109022.47,0.46,3.19,1
5,7,107671.0,112200.0,4270.04,103830.73,120569.27,0.47,3.31,1
6,7,107671.0,112800.0,4409.81,104156.78,121443.22,0.53,3.34,1
7,7,107671.0,107200.0,4147.66,99070.59,115329.41,0.47,3.31,1
8,7,107671.0,106200.0,4165.03,98036.53,114363.47,0.48,3.34,1
9,7,107671.0,102200.0,4026.25,94308.55,110091.45,0.47,3.25,1
0,8,109024.0,115200.0,4334.8,106703.8,123696.2,0.47,3.33,1
1,8,109024.0,112400.0,4336.65,103900.17,120899.83,0.59,3.44,1
2,8,109024.0,110800.0,4240.2,102489.21,119110.79,0.46,3.27,1
3,8,109024.0,106200.0,4256.76,97856.75,114543.25,0.46,3.18,1
4,8,109024.0,106600.0,4205.28,98357.66,114842.34,0.47,3.32,1
5,8,109024.0,110600.0,4236.73,102296.02,118903.98,0.47,3.34,1
6,8,109024.0,99200.0,4063.59,91235.37,107164.63,0.47,3.34,0
7,8,109024.0,112800.0,4139.26,104687.05,120912.95,0.54,3.59,1
