Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,284000.0,12141.92,260201.84,307798.16,0.21,5.04,1
1,1,278356.0,285000.0,12155.69,261174.85,308825.15,0.18,5.69,1
2,1,278356.0,262000.0,11851.92,238770.24,285229.76,0.11,5.15,1
3,1,278356.0,269000.0,11816.93,245838.81,292161.19,0.17,4.35,1
4,1,278356.0,276000.0,12267.04,251956.59,300043.41,0.18,4.96,1
5,1,278356.0,274000.0,12380.25,249734.7,298265.3,0.11,4.1,1
6,1,278356.0,261000.0,12350.72,236792.58,285207.42,0.13,4.13,1
7,1,278356.0,273000.0,12275.53,248939.95,297060.05,0.11,3.71,1
8,1,278356.0,284000.0,12315.0,259862.6,308137.4,0.14,3.76,1
9,1,278356.0,279000.0,12020.8,255439.23,302560.77,0.14,5.19,1
0,2,218426.0,204000.0,11807.92,180856.48,227143.52,0.15,5.47,1
1,2,218426.0,209000.0,11746.84,185976.2,232023.8,0.11,3.76,1
2,2,218426.0,206000.0,11676.53,183114.0,228886.0,0.26,5.0,1
3,2,218426.0,227000.0,12277.64,202935.82,251064.18,0.19,5.92,1
4,2,218426.0,223000.0,11774.64,199921.71,246078.29,0.13,4.7,1
5,2,218426.0,239000.0,12067.69,215347.32,262652.68,0.11,4.78,1
6,2,218426.0,204000.0,11707.82,181052.67,226947.33,0.17,3.99,1
7,2,218426.0,247000.0,11757.98,223954.36,270045.64,0.15,4.81,0
8,2,218426.0,217000.0,11732.67,194003.97,239996.03,0.11,3.79,1
9,2,218426.0,229000.0,11755.98,205958.29,252041.71,0.12,4.44,1
0,3,429156.0,443000.0,10779.07,421873.03,464126.97,0.12,3.97,1
1,3,429156.0,432000.0,11155.09,410136.02,453863.98,0.11,3.77,1
2,3,429156.0,430000.0,11084.31,408274.76,451725.24,0.12,3.78,1
3,3,429156.0,436000.0,10869.66,414695.47,457304.53,0.11,3.77,1
4,3,429156.0,439000.0,10945.45,417546.93,460453.07,0.11,3.74,1
5,3,429156.0,432000.0,10919.96,410596.88,453403.12,0.23,5.09,1
6,3,429156.0,432000.0,11070.54,410301.73,453698.27,0.11,4.78,1
7,3,429156.0,440000.0,10698.32,419031.29,460968.71,0.13,3.43,1
8,3,429156.0,428000.0,11018.81,406403.13,449596.87,0.12,3.96,1
9,3,429156.0,436000.0,10767.93,414894.85,457105.15,0.11,4.12,1
0,4,163131.0,176000.0,11374.08,153706.81,198293.19,0.11,3.44,1
1,4,163131.0,193000.0,11730.93,170007.38,215992.62,0.14,4.51,0
2,4,163131.0,173000.0,11069.01,151304.74,194695.26,0.12,3.94,1
3,4,163131.0,156000.0,10770.98,134888.88,177111.12,0.11,3.53,1
4,4,163131.0,170000.0,11170.03,148106.74,191893.26,0.11,3.5,1
5,4,163131.0,166000.0,10908.13,144620.07,187379.93,0.12,3.51,1
6,4,163131.0,175000.0,11095.3,153253.2,196746.8,0.11,3.56,1
7,4,163131.0,153000.0,10552.34,132317.42,173682.58,0.12,3.51,1
8,4,163131.0,162000.0,11181.97,140083.35,183916.65,0.11,3.56,1
9,4,163131.0,156000.0,11001.61,134436.85,177563.15,0.11,3.47,1
0,5,107671.0,113000.0,9185.72,94996.0,131004.0,0.11,3.65,1
1,5,107671.0,114000.0,9636.57,95112.32,132887.68,0.12,3.51,1
2,5,107671.0,90000.0,8636.68,73072.11,106927.89,0.15,3.56,0
3,5,107671.0,108000.0,9699.83,88988.34,127011.66,0.1,3.71,1
4,5,107671.0,124000.0,9861.61,104671.25,143328.75,0.11,3.46,1
5,5,107671.0,113000.0,9603.27,94177.58,131822.42,0.11,4.67,1
6,5,107671.0,102000.0,9324.8,83723.39,120276.61,0.15,4.87,1
7,5,107671.0,105000.0,9130.61,87104.0,122896.0,0.13,4.64,1
8,5,107671.0,96000.0,9058.11,78246.1,113753.9,0.16,3.7,1
9,5,107671.0,95000.0,8985.32,77388.77,112611.23,0.11,3.92,1
0,6,126798.0,121000.0,9659.86,102066.67,139933.33,0.15,4.16,1
1,6,126798.0,135000.0,10328.43,114756.28,155243.72,0.17,5.34,1
2,6,126798.0,130000.0,10397.4,109621.09,150378.91,0.13,4.46,1
3,6,126798.0,149000.0,10416.08,128584.49,169415.51,0.14,4.77,0
4,6,126798.0,120000.0,9611.66,101161.14,138838.86,0.2,4.94,1
5,6,126798.0,136000.0,10384.91,115645.58,156354.42,0.13,3.73,1
6,6,126798.0,157000.0,10521.88,136377.11,177622.89,0.13,4.5,0
7,6,126798.0,118000.0,9793.25,98805.24,137194.76,0.1,4.6,1
8,6,126798.0,115000.0,9386.91,96601.67,133398.33,0.11,4.06,1
9,6,126798.0,140000.0,10147.16,120111.57,159888.43,0.2,4.07,1
0,7,104695.0,112000.0,9318.66,93735.42,130264.58,0.16,5.54,1
1,7,104695.0,113000.0,9750.12,93889.76,132110.24,0.12,4.89,1
2,7,104695.0,106000.0,9355.92,87662.4,124337.6,0.1,3.39,1
3,7,104695.0,101000.0,8900.7,83554.63,118445.37,0.13,4.09,1
4,7,104695.0,102000.0,9093.95,84175.86,119824.14,0.14,4.84,1
5,7,104695.0,99000.0,9229.39,80910.39,117089.61,0.23,4.91,1
6,7,104695.0,100000.0,9176.3,82014.46,117985.54,0.11,4.51,1
7,7,104695.0,101000.0,9018.87,83323.01,118676.99,0.12,4.1,1
8,7,104695.0,112000.0,9414.21,93548.14,130451.86,0.13,5.0,1
9,7,104695.0,103000.0,9116.5,85131.67,120868.33,0.12,4.47,1
0,8,198159.0,199000.0,11398.43,176659.07,221340.93,0.15,4.59,1
1,8,198159.0,188000.0,11005.24,166429.73,209570.27,0.11,4.61,1
2,8,198159.0,186000.0,11614.17,163236.23,208763.77,0.15,4.9,1
3,8,198159.0,186000.0,11225.54,163997.94,208002.06,0.11,4.54,1
4,8,198159.0,188000.0,11360.46,165733.51,210266.49,0.12,3.79,1
5,8,198159.0,186000.0,11767.88,162934.96,209065.04,0.12,4.52,1
6,8,198159.0,200000.0,11688.83,177089.88,222910.12,0.12,3.78,1
7,8,198159.0,195000.0,11213.44,173021.66,216978.34,0.11,3.56,1
8,8,198159.0,210000.0,11881.19,186712.86,233287.14,0.13,4.08,1
9,8,198159.0,206000.0,11482.6,183494.11,228505.89,0.19,6.86,1
0,9,165477.0,165000.0,11090.8,143262.03,186737.97,0.12,4.24,1
1,9,165477.0,178000.0,11102.11,156239.86,199760.14,0.11,4.08,1
2,9,165477.0,165000.0,11287.97,142875.59,187124.41,0.16,4.87,1
3,9,165477.0,151000.0,10502.55,130415.01,171584.99,0.13,4.28,1
4,9,165477.0,189000.0,11482.89,166493.54,211506.46,0.11,4.02,0
5,9,165477.0,169000.0,11069.84,147303.11,190696.89,0.13,3.96,1
6,9,165477.0,164000.0,11122.11,142200.67,185799.33,0.11,4.49,1
7,9,165477.0,159000.0,10719.09,137990.58,180009.42,0.11,4.14,1
8,9,165477.0,174000.0,11101.7,152240.67,195759.33,0.13,4.16,1
