Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,2785246.0,2699000.0,41915.76,2616845.11,2781154.89,0.1,31.97,0
1,1,2785246.0,2836000.0,38667.74,2760211.22,2911788.78,0.09,31.57,1
2,1,2785246.0,2759000.0,41584.85,2677493.69,2840506.31,0.09,32.49,1
3,1,2785246.0,2784000.0,37572.27,2710358.35,2857641.65,0.09,32.76,1
4,1,2785246.0,2793000.0,39353.91,2715866.34,2870133.66,0.09,32.16,1
5,1,2785246.0,2764000.0,39695.68,2686196.47,2841803.53,0.09,31.7,1
6,1,2785246.0,2731000.0,40962.14,2650714.21,2811285.79,0.1,31.55,1
7,1,2785246.0,2791000.0,39511.67,2713557.13,2868442.87,0.09,31.62,1
8,1,2785246.0,2782000.0,41562.24,2700538.0,2863462.0,0.09,32.1,1
9,1,2785246.0,2753000.0,39215.86,2676136.92,2829863.08,0.09,31.52,1
0,2,2180873.0,2147000.0,36915.67,2074645.28,2219354.72,0.09,31.82,1
1,2,2180873.0,2223000.0,36755.63,2150958.96,2295041.04,0.09,31.51,1
2,2,2180873.0,2187000.0,38002.05,2112515.98,2261484.02,0.09,32.24,1
3,2,2180873.0,2080000.0,36801.21,2007869.64,2152130.36,0.09,32.2,0
4,2,2180873.0,2142000.0,34396.25,2074583.35,2209416.65,0.09,31.61,1
5,2,2180873.0,2159000.0,37519.62,2085461.54,2232538.46,0.09,31.67,1
6,2,2180873.0,2200000.0,35620.68,2130183.47,2269816.53,0.1,31.43,1
7,2,2180873.0,2128000.0,39048.1,2051465.73,2204534.27,0.08,31.69,1
8,2,2180873.0,2227000.0,40395.61,2147824.61,2306175.39,0.09,31.68,1
9,2,2180873.0,2151000.0,36219.74,2080009.3,2221990.7,0.09,31.43,1
0,3,4388299.0,4440000.0,35721.85,4369985.18,4510014.82,0.09,33.31,1
1,3,4388299.0,4378000.0,34947.95,4309502.01,4446497.99,0.09,33.05,1
2,3,4388299.0,4496000.0,35802.4,4425827.29,4566172.71,0.09,33.83,0
3,3,4388299.0,4382000.0,36735.02,4309999.36,4454000.64,0.09,33.02,1
4,3,4388299.0,4383000.0,32997.68,4318324.55,4447675.45,0.09,32.72,1
5,3,4388299.0,4407000.0,32851.01,4342612.01,4471387.99,0.09,32.91,1
6,3,4388299.0,4423000.0,36045.49,4352350.83,4493649.17,0.09,35.2,1
7,3,4388299.0,4420000.0,33355.73,4354622.76,4485377.24,0.09,33.08,1
8,3,4388299.0,4393000.0,30812.62,4332607.27,4453392.73,0.09,33.67,1
9,3,4388299.0,4365000.0,32333.42,4301626.51,4428373.49,0.09,32.99,1
0,4,1637487.0,1605000.0,35062.29,1536277.92,1673722.08,0.08,31.46,1
1,4,1637487.0,1637000.0,34985.2,1568429.0,1705571.0,0.09,31.5,1
2,4,1637487.0,1640000.0,34412.29,1572551.9,1707448.1,0.08,31.07,1
3,4,1637487.0,1685000.0,32902.28,1620511.54,1749488.46,0.09,31.49,1
4,4,1637487.0,1612000.0,36348.13,1540757.67,1683242.33,0.09,31.47,1
5,4,1637487.0,1662000.0,34052.54,1595257.01,1728742.99,0.09,33.78,1
6,4,1637487.0,1612000.0,34164.16,1545038.24,1678961.76,0.09,31.41,1
7,4,1637487.0,1664000.0,34485.67,1596408.08,1731591.92,0.1,31.52,1
8,4,1637487.0,1613000.0,32445.2,1549407.41,1676592.59,0.09,32.16,1
9,4,1637487.0,1684000.0,36811.37,1611849.71,1756150.29,0.09,31.12,1
0,5,1080692.0,1147000.0,30332.95,1087547.42,1206452.58,0.09,30.65,0
1,5,1080692.0,1048000.0,31799.23,985673.52,1110326.48,0.09,31.05,1
2,5,1080692.0,1048000.0,29218.83,990731.09,1105268.91,0.09,30.79,1
3,5,1080692.0,1066000.0,26613.61,1013837.32,1118162.68,0.09,30.8,1
