Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,279900.0,3769.06,272512.65,287287.35,0.13,4.25,1
1,1,278356.0,269500.0,3483.24,262672.86,276327.14,0.1,4.48,0
2,1,278356.0,280000.0,3938.97,272279.63,287720.37,0.11,4.34,1
3,1,278356.0,278500.0,3888.27,270878.99,286121.01,0.11,4.57,1
4,1,278356.0,273400.0,4021.17,265518.51,281281.49,0.15,4.62,1
5,1,278356.0,274600.0,3853.18,267047.77,282152.23,0.1,4.71,1
6,1,278356.0,273200.0,4061.34,265239.78,281160.22,0.11,4.53,1
7,1,278356.0,280200.0,3946.03,272465.78,287934.22,0.09,4.67,1
8,1,278356.0,275500.0,3875.71,267903.61,283096.39,0.12,4.4,1
9,1,278356.0,280300.0,4128.46,272208.22,288391.78,0.1,4.43,1
0,2,218426.0,220600.0,3909.46,212937.45,228262.55,0.09,4.64,1
1,2,218426.0,222500.0,3832.19,214988.9,230011.1,0.09,4.57,1
2,2,218426.0,217700.0,3581.35,210680.55,224719.45,0.09,4.28,1
3,2,218426.0,221300.0,3606.53,214231.2,228368.8,0.15,4.37,1
4,2,218426.0,211800.0,3608.5,204727.33,218872.67,0.1,4.67,1
5,2,218426.0,215700.0,3597.04,208649.8,222750.2,0.09,4.25,1
6,2,218426.0,218200.0,4336.77,209699.93,226700.07,0.11,4.49,1
7,2,218426.0,213500.0,3342.95,206947.82,220052.18,0.09,4.58,1
8,2,218426.0,218600.0,3719.13,211310.5,225889.5,0.1,4.32,1
9,2,218426.0,214200.0,3842.26,206669.16,221730.84,0.09,4.24,1
0,3,429156.0,430400.0,3708.13,423132.07,437667.93,0.13,5.98,1
1,3,429156.0,433300.0,3367.18,426700.32,439899.68,0.09,4.67,1
2,3,429156.0,423400.0,3206.68,417114.91,429685.09,0.11,4.98,1
3,3,429156.0,428800.0,3626.29,421692.48,435907.52,0.11,8.85,1
4,3,429156.0,427300.0,3707.92,420032.49,434567.51,0.11,5.37,1
5,3,429156.0,432200.0,3513.08,425314.37,439085.63,0.13,5.78,1
6,3,429156.0,432600.0,3712.78,425322.96,439877.04,0.19,5.8,1
7,3,429156.0,429000.0,3410.22,422315.98,435684.02,0.22,10.0,1
8,3,429156.0,426400.0,3207.12,420114.05,432685.95,0.1,10.24,1
9,3,429156.0,429400.0,3501.57,422536.93,436263.07,0.09,4.5,1
0,4,163131.0,163200.0,3443.62,156450.51,169949.49,0.09,4.14,1
1,4,163131.0,165000.0,3450.55,158236.92,171763.08,0.09,4.0,1
2,4,163131.0,160100.0,3763.8,152722.95,167477.05,0.11,4.58,1
3,4,163131.0,162400.0,3321.32,155890.2,168909.8,0.15,4.26,1
4,4,163131.0,157500.0,3269.01,151092.75,163907.25,0.26,5.17,1
