Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,2785246.0,2734000.0,35677.79,2664071.54,2803928.46,0.09,34.38,1
1,1,2785246.0,2699000.0,40866.23,2618902.18,2779097.82,0.09,34.53,0
2,1,2785246.0,2768000.0,40386.67,2688842.14,2847157.86,0.09,35.14,1
3,1,2785246.0,2748000.0,40206.35,2669195.54,2826804.46,0.09,34.24,1
4,1,2785246.0,2823000.0,39510.83,2745558.78,2900441.22,0.09,34.56,1
5,1,2785246.0,2778000.0,37041.95,2705397.77,2850602.23,0.09,34.38,1
6,1,2785246.0,2796000.0,39372.58,2718829.73,2873170.27,0.1,34.6,1
7,1,2785246.0,2734000.0,38683.85,2658179.66,2809820.34,0.09,34.19,1
8,1,2785246.0,2819000.0,36841.01,2746791.62,2891208.38,0.09,34.93,1
9,1,2785246.0,2791000.0,41559.46,2709543.45,2872456.55,0.09,34.59,1
0,2,2180873.0,2162000.0,38058.99,2087404.37,2236595.63,0.09,33.42,1
1,2,2180873.0,2151000.0,35434.8,2081547.79,2220452.21,0.09,33.98,1
2,2,2180873.0,2133000.0,36490.03,2061479.55,2204520.45,0.09,33.56,1
3,2,2180873.0,2182000.0,38364.77,2106805.05,2257194.95,0.09,33.81,1
4,2,2180873.0,2228000.0,35675.8,2158075.42,2297924.58,0.09,34.0,1
5,2,2180873.0,2163000.0,39193.93,2086179.89,2239820.11,0.09,33.45,1
6,2,2180873.0,2127000.0,39478.85,2049621.46,2204378.54,0.09,33.76,1
7,2,2180873.0,2179000.0,36003.71,2108432.74,2249567.26,0.09,33.38,1
8,2,2180873.0,2176000.0,38091.6,2101340.46,2250659.54,0.09,33.28,1
9,2,2180873.0,2202000.0,37578.65,2128345.85,2275654.15,0.09,34.31,1
0,3,4388299.0,4374000.0,35619.67,4304185.44,4443814.56,0.09,36.09,1
1,3,4388299.0,4389000.0,35312.08,4319788.32,4458211.68,0.09,36.11,1
2,3,4388299.0,4419000.0,33770.42,4352809.98,4485190.02,0.09,35.69,1
3,3,4388299.0,4384000.0,32871.49,4319571.88,4448428.12,0.09,35.92,1
4,3,4388299.0,4338000.0,36806.52,4265859.22,4410140.78,0.09,35.75,1
5,3,4388299.0,4381000.0,34243.51,4313882.72,4448117.28,0.09,35.68,1
6,3,4388299.0,4387000.0,33838.29,4320676.95,4453323.05,0.09,36.03,1
7,3,4388299.0,4409000.0,34723.09,4340942.74,4477057.26,0.09,35.97,1
8,3,4388299.0,4354000.0,36494.2,4282471.36,4425528.64,0.09,35.69,1
9,3,4388299.0,4456000.0,34686.56,4388014.34,4523985.66,0.09,36.39,1
0,4,1637487.0,1616000.0,37753.64,1542002.86,1689997.14,0.09,32.73,1
1,4,1637487.0,1609000.0,31747.25,1546775.39,1671224.61,0.09,33.07,1
2,4,1637487.0,1612000.0,34650.05,1544085.9,1679914.1,0.09,32.79,1
3,4,1637487.0,1592000.0,35726.68,1521975.71,1662024.29,0.08,32.8,1
4,4,1637487.0,1614000.0,34221.48,1546925.89,1681074.11,0.08,32.69,1
5,4,1637487.0,1596000.0,35483.38,1526452.58,1665547.42,0.09,32.64,1
6,4,1637487.0,1566000.0,31345.06,1504563.68,1627436.32,0.09,33.32,0
7,4,1637487.0,1653000.0,35436.71,1583544.05,1722455.95,0.09,32.67,1
8,4,1637487.0,1619000.0,35003.97,1550392.23,1687607.77,0.09,33.03,1
9,4,1637487.0,1610000.0,33294.66,1544742.47,1675257.53,0.08,33.16,1
0,5,1080692.0,1053000.0,27882.69,998349.93,1107650.07,0.09,32.29,1
1,5,1080692.0,1116000.0,28947.34,1059263.22,1172736.78,0.09,31.49,1
2,5,1080692.0,1044000.0,28072.03,988978.81,1099021.19,0.08,32.29,1
3,5,1080692.0,1090000.0,29805.05,1031582.11,1148417.89,0.09,31.91,1
4,5,1080692.0,1059000.0,30077.94,1000047.23,1117952.77,0.09,31.94,1
5,5,1080692.0,1083000.0,30361.75,1023490.97,1142509.03,0.09,31.49,1
6,5,1080692.0,1103000.0,28768.84,1046613.08,1159386.92,0.09,31.95,1
7,5,1080692.0,1097000.0,30617.62,1036989.47,1157010.53,0.1,32.09,1
